english,malay,definition
Feature Extraction,pengekstrakan ciri,"Proses mengurangkan dimensi data mentah dengan memilih atau mengubah ciri untuk menangkap maklumat yang paling relevan, sering digunakan sebagai langkah prapemprosesan dalam pembelajaran mesin."
feature map,peta ciri-ciri,"Output pertengahan dari operasi konvolusi dalam CNN, mewakili tindak balas penuras yang berbeza pada input dan menangkap kehadiran corak atau ciri setempat."
feature scaling,Min-max normalization; penskalaan ciri,"Proses menormalkan julat ciri kepada skala yang standard, biasanya antara 0 dan 1 atau dengan min 0 dan varians unit, untuk mengelakkan ciri dengan nilai mutlak yang besar mendominasi yang lain semasa latihan model."
feature set,set ciri,Koleksi ciri atau atribut boleh ukur yang digunakan sebagai input kepada model pembelajaran mesin untuk membuat ramalan atau keputusan.
feature space,ruang ciri,"Ruang matematik abstrak di mana setiap dimensi mewakili ciri atau atribut set data, dan setiap sampel diwakili sebagai vektor dalam ruang ini."
feature vector,vektor ciri,"Perwakilan vektor untuk objek atau sampel dalam set data, di mana setiap dimensi sepadan dengan ciri atau atribut tertentu."
features,ciri-ciri,"Input boleh ukur kepada model pembelajaran mesin, digunakan untuk membuat ramalan atau keputusan, boleh jadi ciri mentah atau ciri yang diperoleh melalui pengekstrakan ciri atau pemilihan ciri."
federated learning,pembelajaran bersekutu; pembelajaran kolaboratif,"Paradigma pembelajaran mesin di mana model dilatih pada data teragih merentasi berbilang peranti atau pelayan tanpa pertukaran data mentah, melindungi privasi pengguna dan mengurangkan kos komunikasi."
feedback loop,gelung maklum balas,"Proses di mana output sistem digunakan sebagai input untuk langkah atau lelaran selanjutnya, membentuk gelung maklum balas yang membolehkan sistem menyesuaikan dan memperbaiki diri dari semasa ke semasa."
feedforward neural network,rangkaian neural suap-hadapan,"Seni bina rangkaian neural di mana maklumat bergerak hanya dalam satu arah, dari lapisan input melalui lapisan tersembunyi (jika ada) dan akhirnya lapisan output, tanpa gelung maklum balas."
few-shot learning,pembelajaran beberapa contoh,"Kelas kaedah pembelajaran mesin yang bertujuan untuk belajar daripada bilangan contoh latihan yang kecil, biasanya dengan menggunakan pengetahuan yang dipindahkan daripada tugasan yang berkaitan atau teknik meta pembelajaran."
filter,penuras; penapis,"Set parameter boleh dipelajari dalam lapisan konvolusi yang bertindak untuk mengesan kehadiran ciri atau corak tertentu dalam input, juga dikenali sebagai kernel konvolusi."
fine-tuning,penalaan halus,"Teknik yang biasa digunakan dalam pembelajaran pemindahan (transfer learning), di mana lapisan atas model pra-latih ditalakan pada data dari domain atau tugasan sasaran, membolehkan penyesuaian kepada ciri khusus tugasan baharu."
fit,penyesuaian,Proses melatih model pembelajaran mesin pada set data dengan melaraskan parameter model untuk meminimumkan fungsi kerugian dan meningkatkan prestasi pada tugas yang diberikan.
forward propagation,perambatan hadapan,"Proses mengira output rangkaian neural dengan menyebarkan input melalui lapisan dari kiri ke kanan, menggunakan pemberat dan fungsi pengaktifan untuk mengubah nilai pada setiap lapisan."
Fourier Transform,Jelmaan Fourier,"Alat matematik yang menguraikan fungsi atau isyarat kepada komponen frekuensi asasnya, membolehkan analisis dan pemprosesan dalam domain frekuensi."
gated recurrent unit,unit berulang berpintu,"Jenis unit dalam rangkaian neural berulang yang menggunakan mekanisme get untuk mengawal aliran maklumat, mengatasi masalah penyusutan gradien dan membolehkan pembelajaran perhubungan jangka panjang dengan lebih berkesan."
Gaussian Mixture Model,Model Campuran Gaussian,"Model statistik yang mewakili taburan kebarangkalian sebagai gabungan berbilang taburan Gaussian, digunakan dalam pemodelan taburan kompleks, pengecaman corak, dan pembelajaran mesin tidak diselia."
generalization,simpulan umum; generalisasi,"Keupayaan model pembelajaran mesin untuk melakukan dengan baik pada data baharu dan tidak pernah dilihat, menunjukkan bahawa ia telah belajar corak yang bermakna dan bukannya menghafal set latihan."
generatif model,model generatif,"Kelas model pembelajaran mesin yang mempelajari taburan kebarangkalian tersirat data latihan, membolehkan penjanaan sampel baharu yang serupa."
generation,penjanaan,"Proses mencipta kandungan baharu, seperti teks, imej, atau bunyi, menggunakan model pembelajaran mesin yang dilatih pada data sedia ada."
generative adversarial network,rangkaian berlawanan generatif,"Seni bina pembelajaran mendalam yang terdiri daripada dua rangkaian neural, penjana yang cuba menghasilkan sampel yang realistik dan pembeza yang cuba membezakan antara sampel yang dijana dan sampel sebenar, dilatih dalam persekitaran pertentangan sehingga penjana dapat menghasilkan sampel yang tidak dapat dibezakan."
Generative Pre-trained Transformer,,"Model prakejuruteraan bahasa yang besar yang dilatih pada korpus teks yang banyak menggunakan objektif ramalan bahasa, sering digunakan sebagai asas untuk penyesuaian halus pada pelbagai tugas hiliran."
generator,penjana,"Komponen dalam rangkaian penyahkod-auto berlawanan (GAN) yang bertanggungjawab untuk menjana sampel baharu yang menyerupai data latihan, bersaing dengan pembeza yang cuba membezakan antara sampel sebenar dan janaan."
Gini Impurity,kecemaran gini,"Metrik yang digunakan dalam algoritma pepohon keputusan untuk mengukur sejauh mana sampel dalam set dipisahkan merentasi kelas yang berbeza, dengan nilai yang lebih rendah menunjukkan pemisahan yang lebih baik."
gradient,kecerunan,"Vektor yang mengukur kadar perubahan fungsi berkenaan dengan perubahan input, digunakan dalam algoritma pengoptimuman seperti penurunan kecerunan (gradient descent) untuk menentukan arah pengemaskinian parameter model."
gradient accumulation,pengumpulan kecerunan,Teknik untuk mensimulasikan saiz kelompok yang lebih besar pada perkakasan terhad dengan mengumpulkan kecerunan merentasi berbilang lelaran sebelum mengemas kini parameter model.
Gradient Boosting,pengalakkan kecerunan,"Teknik ensembel yang menggabungkan banyak model lemah (biasanya pepohon keputusan) secara berjujukan, di mana setiap model berikutnya cuba membetulkan kesalahan model sebelumnya."
gradient clipping,pengetipan kecerunan,"Teknik untuk mengehadkan magnitud kecerunan semasa latihan rangkaian neural, biasanya dengan menormalkan kecerunan jika normanya melebihi nilai ambang tertentu, membantu mencegah nilai pemberat daripada menjadi terlalu besar atau tidak stabil."
gradient descent,penurunan kecerunan,Algoritma pengoptimuman yang biasa digunakan dalam pembelajaran mesin untuk mencari nilai minimum fungsi kos dengan mengemas kini parameter model mengikut arah bertentangan dengan kecerunan fungsi.
gram,gram,"Unit dalam pemprosesan bahasa semula jadi yang merujuk kepada urutan bersebelahan n item dari sampel teks atau ucapan, seperti unigram (satu item), dwigram (dua item), atau trigram (tiga item)."
Grapheme-to-Phoneme,Grafem-ke-Fonem,"Proses pemetaan unit tulisan (grafem) kepada unit bunyi (fonem) yang sepadan dalam sintesis pertuturan, penting untuk menghasilkan sebutan yang betul dari teks input."
greedy,rakus,"Sifat algoritma yang sentiasa membuat pilihan optimum setempat pada setiap langkah dengan harapan mencari penyelesaian optimum global, tanpa sentiasa berjaya."
grid,kisi,"Struktur data dalam bentuk kisi (tersusun seragam) yang terdiri daripada sel berbentuk segiempat yang beraturan, biasa digunakan dalam kartografi, reka bentuk, dan pemprosesan imej."
hallucination,halusinasi; konfabulasi,"Fenomena dalam model bahasa dan penjanaan imej, di mana model menghasilkan output yang tidak berasas atau tidak wujud dalam data latihan, akibat penyesuaian lebih (overfitting) atau kepincangan dalam set data."
hidden Markov model,model Markov tersembunyi,"Model statistik yang memodelkan sistem sebagai proses Markov dengan keadaan tersembunyi, di mana keadaan sistem tidak dapat diperhatikan secara langsung tetapi output bergantung pada keadaan tersembunyi."
hidden state,keadaan tersembunyi,Perwakilan dalaman dalam model urutan seperti rangkaian neural berulang yang merangkumi maklumat konteks dari input sebelumnya untuk membantu meramalkan output seterusnya.
Hinge Loss,Kerugian Engsel,"Fungsi kerugian yang biasa digunakan dalam pengelasan, terutamanya dengan mesin vektor sokongan (SVM), yang menggalakkan margin yang besar antara sampel dari kelas yang berbeza."
Holdout Set,testing data; Set Pegangan,"Subset data yang disimpan secara berasingan dari set latihan dan digunakan untuk menilai prestasi akhir model yang telah dilatih, memberikan anggaran prestasi tidak berpihak pada data baharu."
holt-winters method,kaedah holt-winters,"Algoritma yang biasa digunakan untuk ramalan siri masa yang merangkumi trend dan kesan bermusim, berdasarkan purata berpemberat nilai siri masa yang lepas."
hopfield network,rangkaian hopfield,"Sejenis rangkaian neural berulang yang berfungsi sebagai sistem memori boleh ubah dan boleh digunakan untuk pembelajaran corak dan pengoptimuman kombinasi, dinamakan sempena penemunya John Hopfield."
hyperdimensional,hiperdimensi,"Melibatkan ruang ciri atau ruang parameter yang mempunyai bilangan dimensi yang sangat tinggi, sering ditemui dalam pembelajaran mesin dan pemprosesan data."
hyperparameter,hiperparameter,"Parameter yang menentukan struktur atau proses latihan model pembelajaran mesin, seperti kadar pembelajaran, bilangan lapisan tersembunyi, atau fungsi pengaktifan, yang perlu ditentukan sebelum latihan dan tidak dipelajari secara langsung dari data."
hyperparameter tuning,penalaan hiperparemeter,"Proses mencari kombinasi optimum hiperparameter untuk model pembelajaran mesin, seperti kadar pembelajaran, bilangan unit tersembunyi, atau kedalaman rangkaian, untuk memaksimumkan prestasi pada set data pengesahan."
hyperplane,hipersatah,"Satah dengan dimensi n-1 yang memisahkan ruang n-dimensi kepada dua bahagian, digunakan dalam algoritma pengelasan seperti mesin vektor sokongan (SVM) untuk mengklasifikasikan data."
Imbalanced Data,Data Tidak Seimbang,"Set data di mana bilangan sampel dalam setiap kelas tidak sama rata, dengan sesetengah kelas (minoriti) mempunyai bilangan sampel yang jauh lebih sedikit daripada yang lain (majoriti), yang boleh menjejaskan prestasi model pembelajaran mesin jika tidak ditangani dengan betul."
imputation,penyelarasan; imputasi,"Proses menganggarkan atau menggantikan nilai yang hilang dalam set data, menggunakan teknik statistik atau pembelajaran mesin untuk membuat anggaran berdasarkan corak dalam data yang ada."
inception network,rangkaian inception,"Seni bina rangkaian neural konvolusi yang menggabungkan berbilang saiz dan jenis lapisan konvolusi pada setiap peringkat rangkaian, membolehkan ekstraksi ciri pada berbilang skala dan mengurangkan bilangan parameter."
inference,inferens,"Proses menggunakan model yang telah dilatih untuk membuat ramalan atau keputusan pada data baharu, membolehkan model menggeneralisasi pembelajaran lepas kepada situasi baharu."
initialization,pemulaan,"Proses menetapkan nilai awal untuk parameter model sebelum latihan, sering dilakukan secara rawak atau menggunakan teknik khusus seperti pemulaan Xavier atau He."
inpainting,pemulihan imej,"Tugas penglihatan komputer di mana bahagian yang hilang atau rosak dalam imej dilengkapkan secara automatik, dengan menganggarkan kandungan visual yang munasabah berdasarkan maklumat kontekstual di sekeliling kawasan sasaran."
iteration,lelaran,"Satu kitaran lengkap melalui algoritma pembelajaran mesin, di mana model melihat dan belajar dari satu atau subset data latihan."
Kernel Trick,Helah Kernel,"Teknik untuk menjalankan algoritma pembelajaran mesin dalam ruang ciri berdimensi tinggi tanpa mengira perubahan ruang secara jelas, dengan menggantikan hasil darab titik dalam ruang input dengan fungsi kernel dalam ruang ciri."
keypoints,titik utama; titik-titik utama,"Titik atau kawasan yang menonjol atau penting dalam imej atau video, sering digunakan dalam penglihatan komputer untuk penjejakan objek, pengecaman aktiviti, atau analisis postur."
K-Fold Cross-Validation,pengesahsahihan silang pelipatan-k,"Teknik untuk menilai prestasi model pembelajaran mesin dengan membahagikan set data kepada K bahagian yang sama saiz, dan melatih serta menguji model K kali, setiap kali menggunakan bahagian yang berbeza sebagai set ujian dan baki K-1 bahagian sebagai set latihan."
K-means,,"Algoritma pengelompokan tak berpenyelia yang bertujuan untuk memecahkan set data kepada K kelompok, di mana setiap titik data diumpukkan kepada kelompok dengan min terdekat."
k-means clustering,penggusan k-purata,"Algoritma pengelompokan yang bertujuan untuk memecahkan set data kepada k kelompok, di mana setiap sampel diumpukkan kepada kelompok dengan min terdekat."
K-Nearest Neighbors,K-jiran terdekat,"Algoritma pembelajaran mesin yang mengkelaskan sampel berdasarkan undian majoriti label kelas k jiran terdekat dalam ruang ciri, di mana k ialah bilangan jiran yang dipertimbangkan."
knowledge distillation,penyulingan maklumat,"Kaedah pemindahan pembelajaran di mana model yang padat (pelajar) dilatih untuk meniru kelakuan model yang lebih besar dan kompleks (guru), membolehkan penyahkodean pengetahuan dari model yang kompleks kepada model yang lebih ringkas."
L1/L2 Regularization,regularisasi L1/L2,"Teknik untuk mengurangkan penyesuaian lampau dan meningkatkan generalisasi model dengan menambah penalti pada magnitud pemberat ke fungsi kerugian, sama ada berdasarkan norma L1 (Lasso) atau norma L2 (Ridge)."
label encoding,pengekodan label,"Kaedah pengekodan di mana setiap nilai kategori unik diwakilkan oleh integer, sering digunakan untuk ciri bukan berangka dalam pembelajaran mesin."
Label Smoothing,,"Teknik pengaturan yang menggantikan sasaran one-hot dengan taburan yang ""dilembutkan"" yang mengagihkan sedikit kebarangkalian kepada kelas bukan sasaran, membantu mengurangkan keyakinan berlebihan dan meningkatkan keteguhan."
language modelling,pemodelan bahasa,"Tugas melatih model untuk meramalkan perkataan atau token seterusnya dalam urutan, berdasarkan konteks perkataan atau token sebelumnya, digunakan dalam pelbagai aplikasi pemprosesan bahasa tabii."
Large Language Model,Model Bahasa Besar,"Model bahasa neural prakejuruteraan yang dilatih pada korpus teks yang sangat besar, mampu menjana teks, menjawab soalan, dan melakukan pelbagai tugas pemprosesan bahasa semula jadi dengan prestasi tahap manusia."
latent space,ruang pendam,"Ruang perwakilan berdimensi rendah yang dipelajari oleh model seperti autoencoder, GAN, atau VAE, di mana struktur data yang mendasari ditangkap dan sampel baharu dapat dijana dengan memanipulasi vektor dalam ruang in"
lattice,kekisi,Susunan berkala titik atau objek dalam ruang yang membentuk corak yang berulang dan teratur.
layer,lapisan,"Sekumpulan neuron yang memproses input secara selari dalam rangkaian neural, dengan output dari satu lapisan menjadi input kepada lapisan seterusnya."
learning rate,kadar pembelajaran,"Hiperparameter yang menentukan saiz langkah semasa mengemas kini pemberat dalam rangkaian neural menggunakan algoritma penurunan kecerunan (gradient descent), mengawal kelajuan pembelajaran model."
Learning rate decay,pereputan kadar pelajaran,"Teknik untuk mengurangkan kadar pembelajaran secara beransur-ansur semasa latihan model untuk membolehkan penumpuan yang lebih halus apabila menghampiri minimum optimum, biasanya dilakukan mengikut jadual atau berdasarkan kemajuan pembelajaran."
Lemmatization,lematisasi,"Proses mengurangkan perkataan kepada bentuk asas atau kamus, dikenali sebagai lem, dengan membuang akhiran ayat berdasarkan analisis bahagian ucapan, sering digunakan dalam pemprosesan bahasa semula jadi untuk menormalkan teks."
LightGBM,LightBGM,"Algoritma pengalakkan kecerunan yang direka untuk lebih cekap dalam penggunaan memori dan masa latihan berbanding dengan XGBoost, berkesan untuk set data besar dengan bilangan ciri yang tinggi."
linear regression,regresi linear,"Teknik regresi yang memodelkan hubungan antara pemboleh ubah input dan output sebagai fungsi linear, dengan menganggarkan pekali yang meminimumkan jumlah ralat kuasa dua antara nilai sebenar dan ramalan."
liquid state machine,mesin keadaan cecair,"Model pengiraan neuromorfik yang menggunakan dinamik tak linear dalam kekolam neuron berulang untuk memproses input bersiri dan memetakan kepada ruang keadaan, digunakan untuk tugas pemprosesan ruang-masa."
Logistic Regression,regresi logitik,"Kaedah statistik untuk menganalisis set data di mana satu atau lebih pemboleh ubah input menentukan hasil binari, digunakan untuk anggaran kebarangkalian dan pengelasan perduaan."
Logit,logit,"Logaritma nisbah ganjil, digunakan dalam regresi logistik dan rangkaian neural untuk mengira kebarangkalian kelas sebelum mengenakan fungsi pengaktifan seperti sigmoid atau softmax."
long short-term memory,memori jangka panjang-pendek,"Sejenis rangkaian neural berulang yang direka untuk menangani masalah kecerunan melenyap (vanishing gradient) dan mengekalkan maklumat jangka panjang, menggunakan get pintu khas untuk mengawal aliran maklumat."
loss aggregator,pengagregat kerugian,Komponen dalam model pembelajaran mesin teragih yang menggabungkan nilai fungsi kerugian dari berbilang sumber atau model untuk mengira kerugian keseluruhan.
Loss Function,fungsi kerugian,"Fungsi yang mengukur perbezaan antara ramalan model dan nilai sebenar, digunakan sebagai objektif untuk diminimumkan semasa melatih model pembelajaran mesin."
Low-Rank Adaptability,kebolehsuaian pangkat rendah,Sifat model pembelajaran mesin yang boleh menyesuaikan dan meningkatkan prestasinya dalam pelbagai persekitaran dengan hanya mengubah sebilangan kecil parameter.
low-shot learning,pembelajaran contoh rendah,"Senario pembelajaran mesin di mana hanya sebilangan kecil contoh latihan yang tersedia untuk setiap kelas, memerlukan teknik khusus seperti pembelajaran pemindahan (transfer learning) atau pembelajaran beberapa contoh (few-shot learning)."
machine learning,pembelajaran Mesin,"Bidang kajian yang memberi tumpuan kepada pembangunan algoritma dan model yang membolehkan komputer belajar dan bertambah baik dari pengalaman tanpa arahan yang jelas, dengan mengenal pasti corak dan membuat kesimpulan daripada set data."
majority class,kelas majoriti,"Kelas dalam set data yang mempunyai bilangan sampel yang jauh lebih banyak berbanding kelas lain, yang boleh menyebabkan model berat sebelah terhadap kelas ini jika tidak ditangani dengan betul."
manifold,pancarongga,"Ruang matematik yang pada skala tempatan kelihatan seperti ruang Euclidean, tetapi mungkin mempunyai struktur global yang berbeza, sering digunakan untuk memodelkan set data yang terletak pada atau berhampiran permukaan berselanjar berdimensi rendah."
many-shot learning,pembelajaran banyak contoh,"Paradigma dalam pembelajaran mesin di mana model dilatih pada banyak contoh berlabel dari setiap kelas, membolehkannya belajar ciri diskriminatif dan sempadan keputusan yang kompleks."
map,peta,"Struktur data yang menyimpan pasangan kekunci-nilai, membolehkan capaian cekap kepada nilai berdasarkan kekunci yang sepadan."
Markov Chain Monte Carlo,Rantaian Markov Monte Carlo,"Kelas algoritma yang mensampelkan taburan kebarangkalian dengan membina rantaian Markov dengan taburan keseimbangan yang dikehendaki, digunakan dalam inferens Bayesian dan pengkomputeran statistik."
Markov decision process,proses keputusan Markov,"Model formal untuk membuat keputusan berjujukan dalam persekitaran stokastik, di mana keputusan bergantung hanya pada keadaan semasa dan bukannya sejarah, digunakan dalam pembelajaran peneguhan."
Markov property,sifat Markov,"Sifat proses stokastik di mana kebarangkalian bersyarat keadaan masa depan, mengingati keadaan semasa, tidak bergantung pada sejarah lampau, juga dikenali sebagai sifat 'lupa'."
Masked language modeling,pemodelan bahasa ditopeng,"Teknik prakejuruteraan dalam pemprosesan bahasa semula jadi, di mana model cuba meramalkan token yang dihilangkan atau ditopengkan dalam ayat, membolehkannya belajar perwakilan bahasa yang kaya konteks."
matrix factorization,pemfaktoran matriks,"Kelas teknik untuk memecahkan matriks kepada hasil darab dua atau lebih matriks dengan dimensi yang lebih kecil, digunakan dalam sistem pengesyoran, pengurangan dimensi, dan pemprosesan isyarat."
Mean Absolute Error,min ralat mutlak,"Ukuran perbezaan purata antara nilai sebenar dan nilai yang diramalkan, mengambil nilai mutlak ralat untuk mengelakkan ralat positif dan negatif saling membatalkan."
mean squared error,kesilapan min persegi; purata ralat kuasa dua,"Fungsi kos yang mengukur purata perbezaan kuasa dua antara nilai sebenar dan nilai yang diramalkan oleh model, sering digunakan dalam tugas regresi untuk menilai prestasi model."
Mel Frequency Cepstral Coefficients,Pekali Frekuensi Mel Cepstral,"Ciri yang diekstrak dari isyarat ucapan, berdasarkan skala mel yang sejajar dengan persepsi telinga manusia, digunakan secara meluas dalam pengecaman ucapan dan pemprosesan audio."
Mel Spectrogram,Spektogram Mel,"Perwakilan tempo-frekuensi isyarat audio yang digunakan dalam pemprosesan pertuturan dan audio, di mana frekuensi diubah mengikut skala Mel yang sejajar dengan persepsi telinga manusia."
method,kaedah,Prosedur atau pendekatan yang sistematik untuk mencapai hasil tertentu.; Fungsi atau operasi yang boleh dipanggil ke atas objek atau struktur data untuk melaksanakan tindakan atau tugas tertentu.
minimax loss,kerugian minimax,"Fungsi kerugian yang digunakan dalam latihan rangkaian penyahkod-auto berlawanan (GAN), di mana penjana cuba meminimumkan kerugian sementara pembeza cuba memaksimumkannya, menghasilkan permainan minimax antara dua rangkaian."
minority class,kelas minoriti,"Kelas dalam set data yang mempunyai bilangan sampel yang jauh lebih sedikit berbanding kelas lain, yang boleh menyebabkan model gagal belajar ciri diskriminatif untuk kelas ini jika tidak ditangani dengan betul."
mixture of experts,campuran pakar,"Seni bina pembelajaran mesin yang menggunakan gabungan beberapa model pakar yang dilatih secara berasingan, dengan setiap pakar dioptimumkan untuk mengendalikan bahagian atau aspek tertentu dalam domain masalah, dan satu model get mengawal sumbangan setiap pakar dalam output akhir."
model cascading,lata model,"Teknik menggabungkan berbilang model pembelajaran mesin secara berjujukan, dengan output dari satu model menjadi input kepada model seterusnya, untuk menyelesaikan tugas yang kompleks atau pelbagai tahap."
model compression,pemampatan model,"Proses mengurangkan saiz dan kompleksiti model pembelajaran mesin tanpa menjejaskan prestasinya secara ketara, dengan menggunakan teknik seperti pemangkasan (pruning), pengkuantuman (quantization), atau distilasi pengetahuan."
Momentum,Momentun,"Teknik yang digunakan dalam algoritma pengoptimuman kecerunan untuk mengurangkan kemeruapan dan mempercepatkan penumpuan, dengan menggabungkan pecutan kecerunan masa lalu dengan kecerunan semasa."
multi-class classification,pengelasan berbilang kelas,"Senario di mana model perlu mengklasifikasikan contoh kepada satu daripada tiga atau lebih kelas yang saling eksklusif, seperti pengelasan jenis dokumen atau pengecaman spesis."
multi-dimensional,Pelbagai Dimensi,"Merujuk kepada data atau ruang ciri dengan lebih daripada dua dimensi, sering ditemui dalam pembelajaran mesin dan analisis data."
multi-head attention,perhatian berbilang-kepala,"Mekanisme yang digunakan dalam model Transformer di mana berbilang pertanyaan, kunci, dan nilai dihitung secara selari untuk menghasilkan perwakilan konteks yang berbeza, kemudian digabungkan untuk membentuk perwakilan akhir."
Multi-instance Learning,Pembelajaran Berbilang Tika,"Paradigma pembelajaran mesin di mana data latihan terdiri daripada pelbagai tika sampel tidak dilabel, dan matlamatnya adalah untuk meramalkan label untuk setiap tika dan keseluruhan set, dengan aplikasi dalam bidang seperti penglihatan komputer dan bioinformatik."
multi-label classification,pengelasan berbilang label,"Tugas pengelasan di mana setiap contoh boleh ditugaskan kepada berbilang kelas yang tidak saling eksklusif, seperti pengelasan genre muzik atau pengesanan objek."
multilayer,berbilang lapis,"Merujuk kepada rangkaian neural atau struktur lain yang mempunyai berbilang lapisan unit pemprosesan antara lapisan input dan output, membolehkan pembelajaran perwakilan berhierarki."
multilayer perceptron,perseptron berbilang lapisan,"Kelas rangkaian neural suap hadapan yang terdiri daripada berbilang lapisan neuron, dengan sekurang-kurangnya satu lapisan tersembunyi antara lapisan input dan output, membolehkan pembelajaran perwakilan tidak linear."
multimodal model,model berbilang modal,"Model pembelajaran mesin yang memproses dan mengintegrasikan pelbagai jenis input, seperti teks, imej, dan audio, untuk membuat ramalan atau keputusan berdasarkan maklumat dari berbilang modaliti."
Naive Bayes,bayes naif,"Pengelas kebarangkalian mudah berdasarkan Teorem Bayes dengan andaian kebebasan antara ciri-ciri, sering digunakan dalam pengelasan teks dan penyaringan spam."
Natural Language Processing,pemprosesan bahasa tabii,"Cabang sains komputer dan kecerdasan buatan yang memberi tumpuan kepada interaksi antara komputer dan bahasa manusia, termasuk tugas seperti pemahaman bahasa, penjanaan teks, dan penterjemahan mesin."
neocognitron,neokognitron,"Rangkaian neural hierarki yang terinspirasi daripada sistem visual mamalia, digunakan untuk pengecaman corak dan menjadi asas kepada rangkaian neural konvolusi moden."
neural,neural,Berkaitan dengan rangkaian neural buatan atau sistem pemprosesan maklumat yang diilhamkan daripada otak dan sistem saraf biologi.
Neural Architecture Search,Carian Seni Bina Neural,"Proses mencari konfigurasi optimum rangkaian neural, seperti bilangan dan saiz lapisan tersembunyi, jenis operasi, dan sambungan, sering dilakukan secara automatik menggunakan algoritma pengoptimuman."
Neural Machine Translation,Terjemahan Mesin Neural,"Pendekatan terjemahan mesin yang menggunakan rangkaian neural mendalam untuk memetakan ayat dari satu bahasa ke bahasa lain, selalunya menggunakan seni bina encoder-decoder seperti Transformer."
neural network,rangkaian neural; rangkaian neural buatan,"Model pengiraan yang diilhamkan oleh struktur dan fungsi otak biologi, terdiri daripada lapisan nod bersambung yang melakukan transformasi tidak linear pada input untuk mempelajari perwakilan hierarki dan pemetaan kompleks."
neuron,neuron,"Unit asas pemprosesan dalam rangkaian neural, mengira kombinasi linear input berpemberat dan menggunakan fungsi pengaktifan untuk menghasilkan output tidak linear."
n-gram,n-gram,"Urutan bersebelahan n item dari sampel teks atau ucapan, digunakan untuk pemodelan bahasa dan analisis sentimen."
node,nod,"Unit asas atau unit pemprosesan dalam rangkaian neural, graf, atau struktur data lain, yang mewakili simpang atau titik sambungan dalam rangkaian."
noise,hingar; ingar,"Gangguan rawak atau tidak diingini yang hadir dalam data atau isyarat, yang boleh menjejaskan prestasi model pembelajaran mesin.; Penambahan rawak pada data latihan sebagai teknik pengaburan data (data augmentation) untuk meningkatkan keteguhan model."
noise scheduler,penjadualan hingar,"Teknik dalam model penyebaran (diffusion) di mana jumlah hingar yang digunakan pada setiap langkah penyebaran dijadualkan mengikut fungsi yang menurun, membolehkan pensampelan beransur-ansur imej yang kurang kabur."
nonlinear,tak linear,"Merujuk kepada sistem atau fungsi di mana perubahan dalam output tidak berkadaran dengan perubahan dalam input, membolehkan pemodelan hubungan yang lebih kompleks berbanding sistem linear."
non-linearity,ketaklinearan,"Sifat sistem atau fungsi yang tidak mempunyai hubungan linear atau berkadar antara input dan output, di mana perubahan dalam input tidak menghasilkan perubahan yang berkadar dalam output."
n-shot learning,pembelajaran N-contoh,Pendekatan pembelajaran mesin di mana model dilatih untuk mengklasifikasikan contoh baru daripada kelas yang tidak pernah dilihat berdasarkan hanya beberapa contoh berlabel (n) dari setiap kelas baharu tersebut.
nucleus sampling,pensampelan nukleus,"Kaedah pensampelan dari model bahasa di mana subset token teratas yang jumlah kebarangkaliannya melebihi ambang tertentu dipilih untuk setiap token yang dipilih secara rawak, menjadikan pensampelan ini lebih cenderung untuk memilih token yang jarang berlaku tetapi penting bagi konteks."
objective function,fungsi objektif,"Fungsi matematik yang cuba diminimumkan atau dimaksimumkan oleh algoritma pembelajaran mesin semasa latihan, seperti fungsi kerugian untuk masalah pengelasan atau fungsi ganjaran untuk pembelajaran peneguhan."
one-hot encoding,pengekodan satu-panas,"Teknik yang mewakili ciri kategori sebagai vektor perduaan dengan 1 pada kedudukan yang sepadan dengan kategori tersebut dan 0 di tempat lain, sering digunakan dalam pembelajaran mesin untuk mengendalikan ciri bukan berangka."
one-shot learning,pembelajaran satu contoh,"Keupayaan model pembelajaran mesin untuk belajar konsep baru daripada hanya satu contoh latihan, biasanya dicapai dengan menggunakan teknik seperti pembelajaran perbandingan (contrastive learning) atau rangkaian siam."
optimization,pengoptimuman,Proses mencari set parameter model yang meminimumkan fungsi kos dan memaksimumkan prestasi pada tugasan yang diberikan.
Optimizer,pengoptimum,"Algoritma yang digunakan untuk menyesuaikan parameter model pembelajaran mesin untuk meminimumkan fungsi kerugian, seperti penurunan kecerunan stokastik (SGD), Adam, atau RMSprop."
outlier,unsur luaran,"Pemerhatian yang berbeza dengan ketara dari pemerhatian lain, sering disebabkan oleh variasi asli dalam ukuran atau ralat eksperimen, dan mungkin memerlukan siasatan selanjutnya atau prapemprosesan khas."
outpainting,pengembangan imej,"Teknik penglihatan komputer yang menjana kandungan visual baru di luar sempadan imej asal, dengan mengekstrapolasi corak dan struktur yang ada untuk menghasilkan sambungan yang munasabah."
overfitting,suaipadan terlebihan;  terlebih suaipadan,"Keadaan apabila model terlalu dekat dengan data latihan dan gagal mengitlak kepada data baharu, sering disebabkan oleh model yang terlalu kompleks atau latihan yang berlebihan."
oversampling,pensampelan lebih,"Teknik untuk menangani ketidakseimbangan kelas dalam set data dengan mencipta lebih banyak sampel dari kelas minoriti, sama ada dengan menduplikasi sampel sedia ada atau menjana sampel sintetik baharu."
padding,penebal,"Proses menambah lapisan kosong di sekitar input, biasanya sifar, untuk mengekalkan dimensi output yang dikehendaki apabila mengenakan operasi seperti konvolusi atau penggemblengan."
